educ,exper,tenure,nonwhite,female,married
12,29,0,0,0,1
12,17,6,0,0,1
12,4,1,0,1,0
9,23,20,0,1,1
11,1,0,0,1,0
12,3,1,0,1,0
12,7,6,0,0,1
11,15,9,1,0,1
4,48,0,1,0,1
16,9,8,0,0,1
14,5,0,0,1,1
15,20,13,0,0,1
12,2,2,0,1,0
12,41,8,0,0,1
12,10,0,0,1,1
12,21,6,0,0,1
12,14,10,0,0,1
8,44,28,0,0,1
16,29,7,0,0,1
15,2,2,0,0,1
13,40,20,0,1,0
11,45,12,0,0,1
10,14,5,1,0,1
14,1,3,0,0,0
8,9,1,0,1,1
16,21,10,0,0,1
12,24,16,0,0,1
16,11,10,0,0,1
12,5,3,0,1,0
16,3,2,0,1,0
16,35,13,0,0,1
12,46,0,0,1,0
4,39,15,0,0,1
16,3,2,0,0,1
13,5,0,0,1,0
15,6,1,0,0,1
14,33,16,0,1,1
12,43,6,0,1,1
12,19,9,0,1,1
12,35,12,0,1,0
12,10,0,0,1,1
12,18,2,0,1,0
11,1,0,0,1,0
15,19,4,0,1,1
12,23,8,0,0,1
10,34,26,0,1,1
12,26,15,0,1,1
8,28,3,0,0,1
9,31,9,1,0,1
12,2,0,0,0,0
12,17,0,0,1,1
12,25,3,0,0,1
12,16,1,0,1,0
13,8,0,0,0,1
12,3,0,0,0,0
9,49,0,0,1,0
6,14,0,1,1,0
12,10,1,1,1,0
14,9,3,0,1,1
16,3,1,0,0,0
17,7,0,0,0,1
8,49,6,0,1,0
15,2,2,0,1,0
12,1,0,0,1,0
13,31,3,0,0,0
12,2,0,0,1,0
11,2,0,0,1,0
16,1,1,0,0,1
16,1,0,0,0,0
12,7,5,0,0,0
12,8,4,0,1,0
13,2,6,0,1,0
12,47,4,0,1,1
12,30,8,0,0,1
12,26,9,0,1,1
12,7,0,0,1,1
16,41,16,0,0,1
17,26,20,0,0,1
16,39,21,0,1,0
8,33,12,0,1,1
8,45,1,0,1,1
13,1,0,0,1,0
10,7,0,0,1,1
12,6,5,0,1,1
14,9,3,0,0,1
14,41,23,1,0,1
14,7,0,0,1,1
12,1,0,1,0,0
18,23,3,0,1,1
12,12,3,1,1,0
16,2,0,0,0,0
12,27,0,0,0,1
12,15,6,1,1,1
12,13,0,0,1,1
14,28,11,0,1,1
12,12,3,0,0,1
11,1,1,0,1,0
12,11,1,0,1,1
12,6,5,1,0,1
16,7,0,0,0,0
18,29,25,0,0,1
10,1,1,0,0,0
14,10,0,0,0,1
15,1,4,0,1,0
9,5,0,1,0,0
11,24,5,0,0,1
14,3,3,0,1,1
16,8,6,0,0,1
17,5,3,0,0,1
12,9,1,0,0,1
10,3,0,1,1,0
13,5,0,0,1,0
12,31,4,0,1,1
12,2,0,0,1,0
16,24,2,0,1,1
12,29,0,0,1,0
13,22,0,0,1,0
13,1,0,0,0,0
13,5,0,0,1,1
12,4,0,0,1,0
8,45,2,0,0,0
12,34,22,0,0,1
16,5,2,1,1,0
10,2,1,0,1,0
15,1,0,0,0,0
14,5,0,0,0,0
8,9,0,0,0,1
14,5,0,0,0,0
12,17,1,0,1,1
16,4,0,0,0,0
17,10,3,0,0,1
14,18,2,0,0,1
12,14,2,0,1,1
6,49,6,0,0,1
16,17,3,0,1,1
12,26,1,0,1,0
12,20,4,0,1,1
12,14,0,1,1,0
8,36,15,0,1,1
11,13,1,0,0,1
16,23,4,0,0,0
8,33,2,0,0,1
11,2,2,0,0,0
12,34,5,0,0,1
6,49,7,0,0,1
14,8,1,0,0,1
15,21,3,0,1,1
12,4,0,0,0,1
13,29,0,0,1,1
17,3,0,0,0,1
12,6,3,0,0,1
12,22,11,0,1,1
10,5,0,0,1,0
12,5,2,0,0,0
12,19,0,0,1,1
12,36,1,1,1,0
13,34,21,0,0,1
12,19,3,1,0,1
12,42,10,0,1,1
16,25,0,0,0,1
18,13,1,0,1,0
10,7,7,0,0,0
14,19,5,0,0,1
12,10,2,0,0,1
12,14,7,1,0,1
14,6,5,0,0,1
10,15,0,0,0,0
16,2,1,0,1,1
14,13,0,0,1,1
16,5,0,0,0,1
14,33,3,0,1,1
12,31,2,0,0,1
8,31,30,0,0,0
12,3,1,0,0,0
12,26,1,0,0,1
16,9,1,0,0,1
12,35,10,0,0,0
15,9,0,1,0,0
11,35,31,0,0,1
11,6,0,0,1,0
11,37,10,0,0,1
13,11,4,0,1,0
6,18,0,0,1,1
14,26,23,0,0,1
8,38,26,0,0,0
12,13,3,0,1,1
12,19,0,0,0,1
12,28,8,0,0,1
8,27,3,0,0,1
18,4,4,0,0,0
12,15,0,0,0,1
16,22,4,1,1,1
15,30,0,0,0,1
18,13,7,0,1,0
12,15,1,0,1,0
16,2,2,0,0,1
18,16,5,0,0,1
12,45,4,0,1,1
9,19,1,0,1,1
16,3,2,0,1,0
12,14,10,1,1,0
15,31,15,0,1,0
18,6,2,0,0,0
9,7,4,0,1,1
10,44,3,0,0,1
12,20,5,1,1,1
12,43,17,0,1,1
7,39,21,1,0,1
16,5,0,0,1,1
12,24,1,0,0,0
16,11,0,0,0,1
10,11,0,0,1,0
16,5,1,0,0,1
12,7,2,0,0,1
14,6,0,0,1,1
11,3,0,0,1,0
15,6,6,0,1,0
13,10,2,0,1,1
12,11,0,0,1,1
8,36,24,0,0,1
12,42,0,0,1,1
12,8,1,0,0,0
14,5,2,0,0,1
16,3,1,0,1,0
13,1,2,0,0,0
14,42,5,0,0,0
12,36,2,0,1,1
13,16,16,0,1,0
13,2,0,0,1,0
12,4,0,1,0,0
12,31,19,0,0,1
12,9,4,0,0,1
16,31,0,0,0,1
8,29,11,0,0,1
15,33,26,0,0,1
12,9,0,0,0,0
0,22,10,0,1,0
9,2,0,0,0,0
13,28,5,0,0,1
